t, a_pc, e_pc, src_dist (km), dlos (km), min_alt (km), max_alt (km), wavelength (nm), max_angle_discr (deg), I0, DoLP (%), AoRD (°):
0,330.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.023426327568538e-08,69.5223027969962,-51.45278374615614
0,340.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.484476434276362e-08,64.29219898745622,-63.024052217799195
0,350.0,50.0,5.0,0.1,0.0,30.0,391.4,1.0,6.591957358429962e-08,60.0209750066545,-75.54737831602245
0,0.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.7150523126165124e-08,75.07793707003101,-88.8328590573127
0,10.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.670582815246889e-08,75.62644774945419,79.52626991655164
0,20.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.6918229614224205e-08,78.08426063284122,68.10458178466526
0,29.999999999999996,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.6184826959229384e-08,81.33713757721006,57.09615134968365
0,40.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.4845980699305267e-08,84.70362183666505,46.610839590182955
0,50.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.327190339416276e-08,87.39262224584826,36.67094905122555
0,59.99999999999999,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.30630451041746e-08,88.55148111414634,27.228833604252202
0,70.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.301610237568825e-08,87.31289629250911,18.190664705351544
0,80.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.4314713216435015e-08,83.29395557451085,9.436565482711481
0,90.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,5.6720607199603565e-08,76.74981058155666,0.8340326571932206
0,100.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,6.063162938756026e-08,68.25785188177082,-7.754341612245282
0,110.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,6.545163312424216e-08,59.036568879959695,-16.46630232701777
0,119.99999999999999,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,7.349030978332047e-08,48.918760061518626,-25.4356550511346
0,130.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,7.767269300998826e-08,42.04089844313303,-34.78540943994638
0,140.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,7.709548791637868e-08,37.996284902536665,-44.61569176066662
0,150.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,7.679113922880519e-08,34.63494801550633,-54.98496643851431
0,160.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,7.665327061370481e-08,32.1079481351365,-65.8865905764433
0,170.0,59.99999999999999,5.0,0.1,0.0,30.0,391.4,1.0,7.66029997742551e-08,30.51410014451745,-77.22902943474392
